attack,retriever,defense,epsilon,stratum,n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score
clean,bm25,multi_query,,bbq-disability,12,0.008333333333333331,0.0,0.4666666666666666,0.2715824383712457,0.4666666666666666,nan,nan,nan,0.06666666666666667,1.3738095238095236
clean,bm25,multi_query,,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.14814814814814814,nan,nan,0.08333333333333333,1.3783333333333332
clean,bm25,multi_query,,stereoset-age,12,0.05833333333333334,0.0005754931866147231,0.395,0.22423401254302763,0.395,0.0,nan,nan,0.06666666666666667,1.4092340067340068
clean,bm25,multi_query,,stereoset-race,12,0.037500000000000006,0.0046554407685663185,0.4444444444444445,0.26285191031992877,0.4444444444444445,0.11111111111111112,nan,nan,0.08333333333333333,1.3416666666666666
clean,bm25,repr_both,0.0,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_both,0.0,bbq-gender,12,0.0,0.0,0.27777777777777773,0.11757326790231641,0.27777777777777773,0.11111111111111109,nan,nan,0.03333333333333333,7.154265912192838
clean,bm25,repr_both,0.0,stereoset-age,12,0.10000000000000002,0.07881759922000933,0.38888888888888884,0.2144256961807246,0.38888888888888884,0.055555555555555546,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_both,0.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.780918322142092
clean,bm25,repr_both,0.1,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_both,0.1,bbq-gender,12,0.0,0.0,0.27777777777777773,0.11757326790231641,0.27777777777777773,0.11111111111111109,nan,nan,0.03333333333333333,7.154265912192838
clean,bm25,repr_both,0.1,stereoset-age,12,0.10000000000000002,0.07881759922000933,0.38888888888888884,0.2144256961807246,0.38888888888888884,0.055555555555555546,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_both,0.1,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.780918322142092
clean,bm25,repr_both,0.25,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_both,0.25,bbq-gender,12,0.0,0.0,0.2777777777777778,0.11757326790231641,0.2777777777777778,0.1111111111111111,nan,nan,0.049999999999999996,7.154265912192838
clean,bm25,repr_both,0.25,stereoset-age,12,0.049999999999999996,0.036010515381866705,0.5,0.31127812445913283,0.5,0.25,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_both,0.25,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.780918322142092
clean,bm25,repr_both,0.5,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_both,0.5,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,repr_both,0.5,stereoset-age,12,0.0,0.0,0.43333333333333335,0.23188675228335848,0.43333333333333335,0.0,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_both,0.5,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.780918322142092
clean,bm25,repr_both,1.0,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_both,1.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,repr_both,1.0,stereoset-age,12,0.0,0.0,0.43333333333333335,0.23188675228335848,0.43333333333333335,0.0,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_both,1.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.780918322142092
clean,bm25,repr_group,0.0,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_group,0.0,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,repr_group,0.0,stereoset-age,12,0.19999999999999998,0.1020519689264608,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_group,0.0,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.780918322142092
clean,bm25,repr_group,0.1,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_group,0.1,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,repr_group,0.1,stereoset-age,12,0.19999999999999998,0.1020519689264608,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,4.161527067594889
clean,bm25,repr_group,0.1,stereoset-race,12,0.0,0.0,0.5,0.3112781244591329,0.5,0.0,nan,nan,0.08333333333333333,4.780918322142092
clean,bm25,repr_group,0.25,bbq-disability,12,0.0,0.0,0.5,0.3112781244591329,0.5,nan,nan,nan,0.08333333333333333,4.091820111428157
clean,bm25,repr_group,0.25,bbq-gender,12,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.08333333333333333,7.154265912192838
clean,bm25,repr_group,0.25,stereoset-age,12,0.049999999999999996,0.036010515381866705,0.5,0.31127812445913283,0.5,0.08333333333333333,nan,nan,0.08333333333333333,4.161527067594889
